Type,Size,Threads,Solutions,TotalTime_s,MaxMemory_KB,CPU_Percent,UserTime_s,SysTime_s,VoluntaryCS,InvoluntaryCS,PageFaults,Status
dense,8,1,0,37.9454,94048492,99,63.34,28.93,4,283,23558177,TIMEOUT
dense,8,8,1159,38.2731,485111136,355,141.75,225.77,304223,654,121568409,TIMEOUT
dense,8,16,312,37.3071,522302664,609,161.64,487.49,695325,12317,130863995,TIMEOUT
dense,8,32,303,27.3642,0,0,0,0,0,0,0,TIMEOUT
dense,8,64,Terminated,0,0,0,0,0,0,0,0,OK
dense,16,1,0,36.5085,89419356,99,63.77,29.00,204,267,22400902,TIMEOUT
dense,16,8,14,38.0559,485596160,353,138.81,227.36,308076,660,121594328,TIMEOUT
dense,16,16,16,38.3306,0,0,0,0,0,0,0,TIMEOUT
dense,16,32,0,26.7915,0,0,0,0,0,0,0,TIMEOUT
dense,16,64,0,0,0,0,0,0,0,0,0,OK
dense,32,1,0,35.8362,87957940,99,64.48,28.23,900,259,22112550,TIMEOUT
dense,32,8,0,37.0816,416993040,351,169.22,189.09,227110,700,106928953,TIMEOUT
dense,32,16,0,35.8761,0,0,0,0,0,0,0,TIMEOUT
dense,32,32,Terminated,0,0,0,0,0,0,0,0,OK
dense,32,64,0,26.9685,0,0,0,0,0,0,0,TIMEOUT
sparse,8,1,0,36.5012,88290708,99,63.54,29.85,134,283,22123062,TIMEOUT
sparse,8,8,92,33.3494,427494448,324,132.81,200.00,267854,637,107912140,TIMEOUT
sparse,8,16,140,30.6733,0,0,0,0,0,0,0,TIMEOUT
sparse,8,32,84,27.6194,0,0,0,0,0,0,0,TIMEOUT
sparse,8,64,0,0,0,0,0,0,0,0,0,OK
sparse,16,1,0,35.5823,87227552,99,63.15,29.00,6582,279,22040138,TIMEOUT
sparse,16,8,2,35.128,437443740,335,135.08,209.96,275902,686,109845400,TIMEOUT
sparse,16,16,1,30.588,0,0,0,0,0,0,0,TIMEOUT
sparse,16,32,3,30.8532,0,0,0,0,0,0,0,TIMEOUT
sparse,16,64,0,19.7599,0,0,0,0,0,0,0,TIMEOUT
sparse,32,1,0,37.0797,91389416,99,63.13,29.79,5,231,22893385,TIMEOUT
sparse,32,8,0,30.7512,406328220,307,133.74,181.02,247619,572,101971063,TIMEOUT
sparse,32,16,0,27.5207,0,0,0,0,0,0,0,TIMEOUT
sparse,32,32,0,0,0,0,0,0,0,0,0,OK
sparse,32,64,0,22.9869,0,0,0,0,0,0,0,TIMEOUT
